clock,horizon,mean_impact_bps,fraction_of_completion,fraction_of_size_endpoint,reference_quote_completion_bps,reference_size_endpoint_bps,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,2.1666666666666665,1.500437310107033,1.0591657037606785,0.8994043920597755,1.4166218796356165,1.6682565966470309,0.029369147128487573,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.25,1.4830145255703107,1.046866878797447,0.8889606841962852,1.4166218796356165,1.6682565966470309,0.029826207232162342,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.333333333333333,1.488203980355541,1.0505301391634136,0.8920713895851686,1.4166218796356165,1.6682565966470309,0.030474205607707194,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.4166666666666665,1.4831519638627295,1.0469638971298578,0.8890430685804951,1.4166218796356165,1.6682565966470309,0.030943697613537106,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.5,1.474936637584002,1.041164659946792,0.8841185705774666,1.4166218796356165,1.6682565966470309,0.03146122747489133,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.583333333333333,1.4691836189815526,1.03710357725059,0.88067004916055,1.4166218796356165,1.6682565966470309,0.03200717169836438,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.6666666666666665,1.461664603689842,1.0317958692448062,0.876162939578713,1.4166218796356165,1.6682565966470309,0.0324067744364021,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.75,1.4561485566936765,1.0279020659120606,0.8728564656182611,1.4166218796356165,1.6682565966470309,0.0329221248519308,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.833333333333333,1.4589842305612946,1.0299037813368903,0.8745562484174525,1.4166218796356165,1.6682565966470309,0.03335225909131392,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.9166666666666665,1.4632083369084201,1.0328855977325344,0.8770882967579868,1.4166218796356165,1.6682565966470309,0.03380097249037415,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,3.0,1.4513289118906054,1.024499856139393,0.8699674347504931,1.4166218796356165,1.6682565966470309,0.03416638352002577,35605,35697,normal,aggressive,random_n6,random_traders,23,True
seconds,0.1,1.7442639128166855,1.2364122909044644,1.0443502554950816,1.4107461771839196,1.6701905358272784,0.020174556634161338,35600,35831,normal,aggressive,random_n6,random_traders,71,True
seconds,1.0,1.8201250951792118,1.29018609060666,1.0897709310019936,1.4107461771839196,1.6701905358272784,0.020890733473209876,35600,35831,normal,aggressive,random_n6,random_traders,71,True
seconds,5.0,1.8007488969928636,1.276451374539574,1.0781697407361472,1.4107461771839196,1.6701905358272784,0.021853084411956755,35600,35831,normal,aggressive,random_n6,random_traders,71,True
seconds,15.0,1.645854924486188,1.16665559765796,0.985429440043476,1.4107461771839196,1.6701905358272784,0.023856678628695713,35600,35831,normal,aggressive,random_n6,random_traders,71,True
seconds,30.0,1.5070633552016532,1.0682739245198583,0.9023301969886777,1.4107461771839196,1.6701905358272784,0.026759875935905352,35600,35831,normal,aggressive,random_n6,random_traders,71,True
seconds,60.0,1.3980271121501715,0.9909841577177707,0.8370464819199213,1.4107461771839196,1.6701905358272784,0.031767818142269824,35600,35831,normal,aggressive,random_n6,random_traders,71,True
seconds,180.0,1.3044769600363595,0.924671624941284,0.7810348173181488,1.4107461771839196,1.6701905358272784,0.04701500072215782,35600,35831,normal,aggressive,random_n6,random_traders,71,True
seconds,600.0,1.2885824404989057,0.913404878453137,0.771518226727734,1.4107461771839196,1.6701905358272784,0.07709891517921644,35600,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.0,1.4088972742756962,1.0,0.8446791200231353,1.4088972742756962,1.6679674457172653,0.01933860996881338,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.0833333333333333,1.7652208424779845,1.252909544725659,1.0583065317074567,1.4088972742756962,1.6679674457172653,0.02110475615001244,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.1666666666666667,1.729707129885225,1.2277028009543525,1.0370149215600608,1.4088972742756962,1.6679674457172653,0.02177252952446369,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.25,1.691547346106701,1.200617942125208,1.0141369068383081,1.4088972742756962,1.6679674457172653,0.02247106797889875,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.3333333333333333,1.6601343251671692,1.1783217665891448,0.995303792906625,1.4088972742756962,1.6679674457172653,0.023231372065898644,35747,35831,normal,aggressive,random_n6,random_traders,71,True
