bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0.531,0.532,202,1.0217,0.0643862,8
0.532,0.533,165,0.812729,0.0665544,8
0.533,0.534,158,0.777491,0.0785075,8
0.534,0.535,175,0.868235,0.0622147,8
0.535,0.536,171,0.863317,0.0548991,8
0.536,0.537,119,0.584571,0.0570948,8
0.537,0.538,104,0.536945,0.0954453,8
0.538,0.539,224,1.14401,0.0360521,8
0.539,0.54,172,0.861088,0.0765282,8
0.54,0.541,162,0.83456,0.0792514,8
0.541,0.542,152,0.749226,0.0524717,8
0.542,0.543,184,0.918673,0.100041,8
0.543,0.544,167,0.82785,0.0457886,8
0.544,0.545,163,0.820199,0.0548981,8
0.545,0.546,165,0.855023,0.0372004,8
0.546,0.547,155,0.777237,0.0774713,8
0.547,0.548,182,0.90557,0.105263,8
0.548,0.549,213,1.02978,0.117815,8
0.549,0.55,226,1.11444,0.131465,8
0.55,0.551,189,0.94002,0.12735,8
0.551,0.552,169,0.898023,0.0711482,8
0.552,0.553,185,0.914474,0.0998245,8
0.553,0.554,173,0.87065,0.0874037,8
0.554,0.555,173,0.897773,0.0721723,8
0.555,0.556,210,1.03447,0.125387,8
0.556,0.557,209,1.07741,0.0953735,8
0.557,0.558,183,0.919443,0.055181,8
0.558,0.559,92,0.446808,0.0690174,8
0.559,0.56,137,0.690021,0.0791146,8
0.56,0.561,217,1.16506,0.189304,8
0.561,0.562,167,0.853032,0.0978675,8
0.562,0.563,198,0.95751,0.0960712,8
0.563,0.564,157,0.813161,0.045645,8
0.564,0.565,170,0.867624,0.0674551,8
0.565,0.566,167,0.827228,0.0990245,8
0.566,0.567,152,0.776533,0.0581849,8
0.567,0.568,163,0.837718,0.035588,8
0.568,0.569,140,0.712535,0.0573003,8
0.569,0.57,167,0.831258,0.0628927,8
0.57,0.571,166,0.842563,0.0372438,8
0.571,0.572,152,0.754507,0.0556729,8
0.572,0.573,151,0.759061,0.058588,8
0.573,0.574,156,0.774125,0.0616494,8
0.574,0.575,171,0.883652,0.0586101,8
0.575,0.576,162,0.816637,0.0605658,8
0.576,0.577,143,0.705026,0.0618057,8
0.577,0.578,129,0.651924,0.0330779,8
0.578,0.579,147,0.753283,0.0547479,8
0.579,0.58,160,0.796107,0.0897995,8
0.58,0.581,110,0.55477,0.0558892,8
0.581,0.582,156,0.752176,0.132784,8
0.582,0.583,245,1.2301,0.0963765,8
0.583,0.584,182,0.890504,0.115718,8
0.584,0.585,185,0.907523,0.0861139,8
0.585,0.586,213,1.04548,0.125066,8
0.586,0.587,170,0.850309,0.111947,8
0.587,0.588,183,0.925982,0.0667307,8
0.588,0.589,181,0.955715,0.0896975,8
0.589,0.59,173,0.882162,0.0223889,8
0.59,0.591,184,0.90559,0.0680945,8
0.591,0.592,170,0.846786,0.0557123,8
0.592,0.593,139,0.710696,0.049916,8
0.593,0.594,170,0.853826,0.0851096,8
0.594,0.595,153,0.77086,0.0515018,8
0.595,0.596,171,0.885127,0.0417254,8
0.596,0.597,160,0.805339,0.0490561,8
0.597,0.598,146,0.726025,0.0550211,8
0.598,0.599,163,0.81604,0.0687658,8
0.599,0.6,142,0.744748,0.0644135,8
0.6,0.601,169,0.856525,0.0809386,8
0.601,0.602,162,0.802661,0.0889458,8
0.602,0.603,85,0.418415,0.0638738,8
0.603,0.604,133,0.638039,0.10353,8
0.604,0.605,208,1.08098,0.102711,8
0.605,0.606,157,0.807142,0.0642548,8
0.606,0.607,140,0.724223,0.0557745,8
0.607,0.608,143,0.730408,0.0558956,8
0.608,0.609,172,0.875058,0.0670231,8
0.609,0.61,129,0.657233,0.0513605,8
0.61,0.611,155,0.798481,0.0483698,8
0.611,0.612,184,0.965464,0.127795,8
0.612,0.613,161,0.815796,0.120462,8
0.613,0.614,166,0.866785,0.124969,8
0.614,0.615,209,1.07276,0.0947882,8
0.615,0.616,216,1.04374,0.180987,8
0.616,0.617,179,0.901012,0.101947,8
0.617,0.618,164,0.857663,0.0894068,8
0.618,0.619,147,0.726814,0.0662834,8
0.619,0.62,162,0.834575,0.0767492,8
