clock,horizon,mean_impact_bps,fraction_of_completion,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
seconds,30.0,0.6302436249056691,1.0169554963738148,0.05983340497842733,5384,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
seconds,60.0,0.6258614513744569,1.009884460218079,0.07322862357554466,5384,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
seconds,180.0,0.46000727675342057,0.7422636421532388,0.10986069328705074,5384,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
seconds,600.0,0.4130504235941786,0.6664944823781492,0.18067457165993414,5384,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.0,0.38187334928074546,0.6191552794923387,0.04098764791340065,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.0833333333333333,0.6935648958004085,1.124520388013966,0.044738337645117976,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.1666666666666667,0.6962819373229862,1.1289256983255456,0.04614353714492903,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.25,0.7020703351058837,1.138310791717983,0.04761061532249369,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.3333333333333333,0.6877367578973008,1.1150708614651375,0.0491427612455534,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.4166666666666665,0.6873026181069036,1.1143669633173132,0.05050641129000229,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.5,0.6985127670250049,1.1325426828316776,0.051936246853177354,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.5833333333333333,0.7137409483524968,1.157233091009525,0.053433683000074235,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.6666666666666665,0.6984350659622465,1.132416701211542,0.05458655798744794,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.75,0.7072548005306053,1.146716691593185,0.055611427363474145,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.8333333333333333,0.7145496768434548,1.1585443333776966,0.056710299540235126,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,1.9166666666666665,0.6979625568508344,1.1316505924702798,0.05797119181901121,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.0,0.6738524517615517,1.0925593626600272,0.05968648036299395,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.083333333333333,0.6623449559650074,1.073901535949716,0.06097772841355924,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.1666666666666665,0.6681493809903862,1.0833126153184378,0.06214181198653253,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.25,0.6619072091907304,1.0731917895720626,0.06338287240681595,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.333333333333333,0.6826617630117786,1.106842453060398,0.06420656231752728,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.4166666666666665,0.6845709889149907,1.1099380010999345,0.06454458445570385,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.5,0.6876464213838999,1.1149243931941557,0.06626311014197007,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.583333333333333,0.6814930075390869,1.1049474763024871,0.06719677720652062,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.6666666666666665,0.6709583218131441,1.0878669277454973,0.0682178977713379,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.75,0.6683844742252123,1.0836937867664838,0.0692195583928598,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.833333333333333,0.67160068687029,1.0889084346148359,0.06982473304364259,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,2.9166666666666665,0.6698421477394362,1.086057204516918,0.07092416603737954,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
z,3.0,0.68671183300333,1.1134090862708739,0.07213672389572172,5413,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
seconds,0.1,0.7246649763002913,1.0592375035361303,0.04408918630517669,5317,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
seconds,1.0,0.7721790761395824,1.1286885162696083,0.04510555633110674,5317,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
seconds,5.0,0.7807606270054773,1.1412321064981117,0.04753069390093891,5317,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
seconds,15.0,0.7422344809009436,1.0849187200985404,0.05235805937763605,5317,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
seconds,30.0,0.7030373692174013,1.0276245882122805,0.06015420022072283,5317,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
